key,id,name,kana,type,sort_level,grade,group_join,permit,del
nckimport,306,仙台支店_ローンセンター班,仙台支店_ろーんせんたー班,1,260,,2,0,0
nckimport,305,仙台支店_業務第二班,仙台支店_業務第二班,1,259,,2,0,0
nckimport,304,仙台支店_JA経営対策班,仙台支店_JA経営対策班,1,258,,2,0,0
nckimport,303,仙台支店_業務第一班,仙台支店_業務第一班,1,257,,2,0,0
nckimport,302,仙台支店_総務班,仙台支店_総務班,1,256,,2,0,0
nckimport,298,青森支店_窓口業務課,青森支店_窓口業務課,1,254,,2,0,0
nckimport,297,青森支店_公庫受託課,青森支店_公庫受託課,1,253,,2,0,0
nckimport,296,青森支店_農林水産環境事業第二班,青森支店_農林水産環境事業第二班,1,252,,2,0,0
nckimport,295,青森支店_農林水産環境事業第一班,青森支店_農林水産環境事業第一班,1,251,,2,0,0
nckimport,294,青森支店_JA指導相談班,青森支店_JA指導相談班,1,250,,2,0,0
nckimport,293,青森支店_JA企画推進班,青森支店_JA企画推進班,1,249,,2,0,0
nckimport,292,青森支店_JAサポート第二班,青森支店_JAさぽーと第二班,1,248,,2,0,0
nckimport,291,青森支店_JAサポート第一班,青森支店_JAさぽーと第一班,1,247,,2,0,0
nckimport,290,青森支店_JAバンク総括班,青森支店_JAばんく総括班,1,246,,2,0,0
nckimport,289,青森支店_総務班,青森支店_総務班,1,245,,2,0,0
nckimport,287,札幌支店_窓口業務班,札幌支店_窓口業務班,1,244,,2,0,0
nckimport,286,札幌支店_業務事務第二班,札幌支店_業務事務第二班,1,243,,2,0,0
nckimport,285,札幌支店_農林水産環境事業第二班,札幌支店_農林水産環境事業第二班,1,242,,2,0,0
nckimport,284,札幌支店_農林水産環境事業第一班,札幌支店_農林水産環境事業第一班,1,241,,2,0,0
nckimport,283,札幌支店_業務事務第一班,札幌支店_業務事務第一班,1,240,,2,0,0
nckimport,282,札幌支店_業務第三班,札幌支店_業務第三班,1,239,,2,0,0
nckimport,281,札幌支店_業務第二班,札幌支店_業務第二班,1,238,,2,0,0
